family,species,stateProvince,decimalLatitude,decimalLongitude
Acanthaceae,Avicennia germinans,NA,-2.85026,-40.03119
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.65558,-47.35113
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.84137,-46.63863
Acanthaceae,Avicennia germinans,NA,-0.84203,-46.64017
Acanthaceae,Avicennia germinans,NA,-0.65558,-47.35113
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.84142,-46.63868
Acanthaceae,Avicennia germinans,NA,-0.8821,-46.65257
Acanthaceae,Avicennia germinans,NA,-0.74948,-48.01355
Acanthaceae,Avicennia germinans,NA,-0.74915,-48.01373
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.84195,-46.64008
Acanthaceae,Avicennia germinans,NA,-0.84143,-46.6387
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.84198,-46.64012
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-0.84205,-46.64018
Acanthaceae,Avicennia germinans,NA,-0.74933,-48.01362
Acanthaceae,Avicennia germinans,NA,-0.9187,-46.67877
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-2.8441,-40.13395
Acanthaceae,Avicennia germinans,NA,-2.84382,-40.13374
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-2.8441,-40.13395
Acanthaceae,Avicennia germinans,NA,-2.8441,-40.13395
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-2.8441,-40.13395
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-2.8441,-40.13395
Acanthaceae,Avicennia germinans,NA,-2.8441,-40.13395
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-2.84397,-40.13386
Acanthaceae,Avicennia germinans,NA,-2.8441,-40.13395
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.44888,-37.78628
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-2.86888,-40.14557
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-2.86845,-40.14491
Acanthaceae,Avicennia germinans,NA,-2.86888,-40.14557
Acanthaceae,Avicennia germinans,NA,-4.53835,-37.78107
Acanthaceae,Avicennia germinans,NA,-2.8688,-40.14551
Acanthaceae,Avicennia schaueriana,Paraná,-25.912944,-48.572498
Acanthaceae,Avicennia schaueriana,Paraná,-25.506667,-48.531077
Acanthaceae,Avicennia schaueriana,São Paulo,-23.970407,-46.34758
Acanthaceae,Avicennia schaueriana,Espírito Santo,-19.973148,-40.137424
Acanthaceae,Avicennia schaueriana,Ceará,-4.688176,-37.358116
Acanthaceae,Avicennia schaueriana,São Paulo,-23.819828,-45.375919
Acanthaceae,Avicennia schaueriana,Rio Grande do Norte,-6.055808,-35.097625
Acanthaceae,Avicennia schaueriana,Ceará,-4.690453,-37.353721
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-22.847996,-43.221671
Acanthaceae,Avicennia schaueriana,Ceará,-3.411196,-39.059086
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.458146,-48.543192
Acanthaceae,Avicennia schaueriana,Espírito Santo,-20.186577,-40.190498
Acanthaceae,Avicennia schaueriana,Espírito Santo,-20.729399,-40.521047
